age,male,female
0,524,496
1,533,508
2,534,508
3,548,519
4,534,509
5,534,510
6,549,524
7,547,522
8,543,518
9,542,517
10,562,537
11,574,545
12,589,561
13,597,569
14,605,573
15,604,576
16,613,585
17,611,583
18,612,584
19,635,603
20,642,606
21,631,596
22,642,605
23,635,599
24,642,606
25,652,620
26,668,635
27,681,651
28,694,664
29,719,694
30,741,716
31,748,725
32,748,730
33,759,738
34,792,771
35,813,790
36,847,825
37,868,846
38,912,887
39,954,928
40,"1,006",979
41,"1,022",998
42,"1,004",977
43,976,955
44,948,928
45,931,917
46,910,898
47,907,894
48,707,702
49,874,867
50,819,810
51,797,793
52,769,767
53,757,755
54,761,762
55,772,777
56,749,759
57,728,738
58,764,776
59,789,803
60,787,805
61,832,859
62,874,908
63,924,963
64,989,"1,038"
65,"1,077","1,137"
66,"1,061","1,130"
67,"1,004","1,073"
68,619,674
69,653,727
70,786,886
71,754,856
72,764,877
73,733,850
74,653,770
75,555,668
76,577,711
77,574,724
78,555,718
79,507,681
80,456,634
81,430,625
82,395,595
83,353,558
84,309,514
85,273,482
86,240,445
87,206,408
88,175,376
89,135,323
90,102,270
91,75,232
92,57,195
93,43,160
94,34,136
95,21,89
96,16,73
97,12,56
98,9,44
99,5,27
